geneID	RNAi-GLAD_1	RNAi-GLAD_2	RNAi-GLAD_3	RNAI-GFP_1	RNAI-GFP_2	RNAi-GFP_3
FBgn0053270	0.110358188	0	0.116797371	0	0	0.087280089
FBgn0034441	0.015655933	0.016222353	0	0	0	0
FBgn0031117	18.70961941	17.7178062	17.04414736	19.48084251	19.58132578	16.40788437
FBgn0031143	30.92031993	27.50992126	31.18246944	29.26220933	27.8060829	30.3437727
FBgn0003139	23.76782605	24.16356901	26.18647376	25.28713259	24.41322355	25.0077597
FBgn0027564	13.79275313	12.82087628	12.400055	12.87182191	12.0511038	12.7851295
FBgn0259998	12.42077198	0	0.562143073	0	3.154539462	1.22791759
FBgn0033588	0	0	0	0	0	0.083001653
FBgn0019644	481.3636639	449.4327769	496.4178363	486.6014884	464.5170494	465.0305969
FBgn0001301	6.905837947	7.25657173	7.301419686	6.824159864	6.959867297	7.276752393
FBgn0026323	22.43199359	22.07942577	19.73283323	19.51084337	19.97382135	21.35511172
FBgn0033645	0.606619607	0.433494237	0.951952781	1.571354594	0.960838001	0.628655415
FBgn0024846	16.51420604	15.86496955	16.42911078	14.44351915	15.03284302	15.35571746
FBgn0037838	7.818012144	8.430165223	8.027522046	7.142170118	6.812393728	7.020929567
FBgn0003268	1.409492857	1.673891768	1.226082731	1.105950327	1.459286677	1.486319703
FBgn0038445	0.625094556	0	0	0	0.305456653	0.391380059
FBgn0260749	11.28067203	12.45421339	13.01218339	12.14440581	12.92135231	12.18930246
FBgn0264517	0.112091563	0.232293902	0.23726377	0.10525402	0	0
FBgn0036931	1.531504711	0.834356525	1.019306852	0.830233775	1.126427724	1.448489031
FBgn0051446	0.732365628	0	0	0.045846107	0.095433436	0.038614224
FBgn0058155	0	0.069109245	0.070587819	0	0.130366235	0.052748714
FBgn0051146	2.226264586	1.957752502	2.480171304	2.448042535	2.075558889	2.003963983
FBgn0037205	0.060530078	0.050176008	0.025624755	0.03410266	0.07098823	0.038297625
FBgn0035997	10.68087259	11.71748457	12.27135172	11.42550998	12.14499156	11.54354948
FBgn0263329	0.174415385	0.271088402	0.09229609	0.163776113	0	0.068970824
FBgn0051100	7.703763228	7.483574568	8.627698178	8.839623586	9.005582247	8.233094599
FBgn0263832	21.99228407	21.60297492	22.13499149	18.81284515	19.10759227	19.16737103
FBgn0038487	0.0757858	0.078527673	0.120311628	0.14232579	0.07406648	0.059937477
FBgn0260400	25.4088492	27.3174457	28.30402917	28.8447744	27.69842009	28.20900425
FBgn0033989	14.12415215	14.6595046	15.6695661	14.36596061	15.11289542	14.88781797
FBgn0083028	0.611699673	1.267661006	0	0.861579336	1.195644613	0.483781066
